County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Columbia County,New York,36021,4606,12890,10720,86.8,60919,59177,1742,59177,54318,2688,33,0,0,0,7,1127,245,163,82,25,186,14,412,0,0,0,0,0,1011,1742,670,302,299,49,60919,55953,3674,531,1433,46,1245,60919,2827,488,1023,125,1191,58092,52771,2564,33,1095,0,94,1535,50,1485,33386,48154,23703,24451,60919,30495,30424,100.2,2572,3150,2951,3355,3285,6515,6492,8982,4977,5063,7870,4140,1567,47.8,10965,51451,49954,48330,16485,13577,49954,24743,25211,98.1,13577,6310,7267
Cortland County,New York,36023,4143,12278,9052,83.0,48123,47071,1052,47071,45625,712,111,0,0,0,0,387,66,96,82,1,90,15,37,9,0,0,9,0,227,1052,489,195,303,0,48123,46636,1209,343,718,37,256,48123,1278,184,375,78,641,46845,44579,693,111,343,0,93,1026,21,1005,20766,38374,18477,19897,48123,23550,24573,95.8,2527,2832,2412,4399,5791,5466,4879,6120,3494,2656,4399,2104,1044,36.4,9436,39880,38687,34054,9112,7547,38687,18647,20040,93,7547,3423,4124
Delaware County,New York,36025,3789,11232,9358,92.8,45502,44781,721,44781,43108,839,70,2,0,0,3,363,43,161,37,54,27,0,41,8,0,0,8,0,393,721,196,174,153,21,45502,43756,1131,303,581,38,470,45502,1742,349,572,89,732,43760,41958,720,70,363,8,39,602,13,589,31565,36784,18596,18188,45502,22943,22559,101.7,1795,2192,2243,3563,2821,4443,4280,6128,3710,3732,6144,3188,1263,47.5,7854,38904,37648,34933,12830,10595,37648,18940,18708,101.2,10595,5099,5496
Dutchess County,New York,36027,21953,63513,46069,80.0,293894,284541,9353,284541,230158,30830,1061,79,0,0,14,10664,3509,3374,523,246,1184,397,1431,117,52,20,12,33,11711,9353,3590,961,1550,509,293894,237771,36338,3003,13275,521,13207,293894,34970,7319,14425,997,12229,258924,211310,28478,410,10600,79,1112,6935,305,6630,120472,223789,110524,113265,293894,146174,147720,99,13631,14599,17309,21866,22024,33821,33864,44870,23014,20196,27457,14698,6545,42,57051,244486,236843,221091,60285,48700,236843,117017,119826,97.7,48700,21637,27063
Erie County,New York,36029,80261,208934,167931,73.7,919866,897376,22490,897376,716987,123475,4558,138,66,0,30,31800,8571,7144,1252,572,2208,1647,10406,309,97,39,91,82,20247,22490,8737,3026,3647,824,919866,735771,136281,9520,36744,821,24680,919866,49413,4502,33868,981,10062,870453,696992,119231,4092,31615,247,1276,17000,618,16382,427147,705339,336223,369116,919866,444998,474868,93.7,50232,50843,53014,59078,62986,128665,101496,123733,69088,62199,87041,46937,24554,40.4,188543,754647,731323,693943,193962,158532,731323,349016,382307,91.3,158532,67242,91290
Essex County,New York,36031,3251,9067,7013,89.2,37751,37051,700,37051,35186,1185,78,2,1,0,0,134,32,28,18,3,10,4,39,8,0,5,0,3,460,700,123,377,6,2,37751,35806,1367,494,181,20,621,37751,1133,201,400,103,429,36618,34773,1080,78,134,8,56,489,50,439,26183,30739,15856,14883,37751,19622,18129,108.2,1495,1870,1633,2068,1954,4517,4291,5365,3341,2895,4707,2592,1023,47,6325,32344,31426,30271,10051,8322,31426,16312,15114,107.9,8322,3924,4398
Franklin County,New York,36033,5319,15341,10217,88.4,50692,49809,883,49809,41778,2965,3618,37,23,9,0,255,113,35,5,15,9,39,39,94,7,6,0,81,1099,883,210,307,105,0,50692,42496,3211,3944,504,116,1327,50692,1759,446,792,8,513,48933,41423,2915,3618,254,94,48,581,4,577,25650,40012,22074,17938,50692,27816,22876,121.6,2463,2769,2946,3023,3803,7040,6036,7430,3625,3476,4785,2494,802,40.6,9912,41826,40780,38813,10326,8081,40780,22629,18151,124.7,8081,3792,4289
Fulton County,New York,36035,5777,14856,11480,80.8,53743,52991,752,52991,50849,1085,192,15,0,18,0,382,130,78,67,16,10,16,65,15,0,8,7,0,468,752,374,159,151,0,53743,51570,1501,356,533,18,528,53743,1581,114,1085,25,357,52162,49973,1058,132,382,15,0,602,4,598,29052,42521,21073,21448,53743,26847,26896,99.8,2677,3099,3156,3151,3060,6407,6208,8041,3781,4182,5734,2710,1537,43.8,10977,44067,42766,41251,12498,9981,42766,21162,21604,98,9981,4461,5520
Genesee County,New York,36037,5958,15234,13821,81.3,58112,56692,1420,56692,53404,1304,510,3,20,0,0,477,184,83,52,6,44,23,85,0,0,0,0,0,997,1420,900,370,76,0,58112,54791,2237,880,558,22,1044,58112,1849,750,553,126,420,56263,52697,1249,501,477,0,43,1296,28,1268,25750,45667,22707,22960,58112,29022,29090,99.8,2980,3516,3265,3453,3633,7081,6380,8579,5104,3668,5673,3181,1599,43.3,11934,47724,46178,44311,12472,10453,46178,23011,23167,99.3,10453,4687,5766
Greene County,New York,36039,4224,12013,9920,89.1,47617,46958,659,46958,42731,2936,281,60,0,0,1,516,112,153,70,37,57,0,87,5,5,0,0,0,489,659,283,83,137,27,47617,43356,3283,450,668,5,581,47617,2753,246,1599,143,765,44864,40625,2763,233,516,5,166,556,0,556,29681,38787,20314,18473,47617,24903,22714,109.6,2029,2014,2442,2735,2970,5739,5187,7032,3775,3698,5909,2750,1337,45.8,8057,40586,39560,37946,11837,9996,39560,20721,18839,110,9996,4709,5287
Hamilton County,New York,36041,484,1130,788,99.5,4575,4489,86,4489,4420,37,16,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,14,86,35,3,2,37,4575,4469,109,56,3,10,14,4575,71,9,34,0,28,4504,4363,37,16,1,1,0,86,0,86,8914,3928,2016,1912,4575,2347,2228,105.3,147,167,191,291,243,267,390,631,596,333,807,348,164,54,633,4023,3942,3742,1555,1319,3942,2021,1921,105.2,1319,658,661
Herkimer County,New York,36043,5277,16083,12607,82.6,62505,61652,853,61652,59916,849,150,13,0,0,0,331,127,59,72,24,3,4,42,93,8,78,0,7,313,853,354,184,150,0,62505,60723,1256,379,487,120,452,62505,1309,254,723,75,257,61196,59147,714,150,322,15,85,763,54,709,33774,48978,23980,24998,62505,30918,31587,97.9,3214,3579,3884,4133,3851,6851,6661,8638,4933,4510,6913,3562,1776,44,13061,51099,49444,46875,14950,12251,49444,24189,25255,95.8,12251,5543,6708
Jefferson County,New York,36045,9043,29937,20848,81.1,114448,109834,4614,109834,98570,6894,533,8,129,47,0,1884,252,140,440,23,501,39,489,245,55,17,16,157,1708,4614,1840,684,619,254,114448,102461,9416,1714,2824,583,2401,114448,8485,2735,3297,120,2333,105963,93636,6452,427,1811,208,70,3359,42,3317,59801,84827,45098,39729,114448,59931,54517,109.9,9078,7900,6749,6937,11415,19655,13294,12635,6310,5856,8506,4271,1842,32.4,27777,89445,86671,81760,18009,14619,86671,45924,40747,112.7,14619,6546,8073
Kings County,New York,36047,188807,463801,468359,68.4,2600747,2524118,76629,2524118,1130251,847116,8427,529,32,70,73,306829,30956,203623,8506,5144,9204,4425,44971,1047,529,145,69,304,230448,76629,17539,4657,24676,3066,2600747,1189313,881388,20355,340756,3386,247682,2600747,499279,101355,161857,8596,227471,2101468,940759,787705,3667,304870,846,11136,52485,4308,48177,1035746,1651148,754051,897097,2600747,1231912,1368835,90,193743,162283,154327,141394,171719,474552,359498,311752,148957,138974,192857,103729,46962,35.1,599759,2061526,2000988,1918462,423780,343548,2000988,925604,1075384,86.1,343548,139557,203991
Lewis County,New York,36049,2791,7253,5614,89.8,26719,26444,275,26444,25829,206,55,0,0,0,0,145,23,7,24,1,0,38,52,23,0,0,0,23,186,275,116,90,7,8,26719,26073,353,153,152,23,240,26719,456,171,107,5,173,26263,25607,206,55,145,23,20,207,0,207,15605,20243,10172,10071,26719,13451,13268,101.4,1661,1552,1903,1659,1571,3051,2982,3632,2094,1994,2559,1371,690,42,6192,21154,20527,19511,5767,4620,20527,10347,10180,101.6,4620,2186,2434
Livingston County,New York,36051,6157,18111,11956,84.3,63907,62913,994,62913,59696,1805,128,16,11,0,0,833,91,90,256,95,151,102,48,22,22,0,0,0,429,994,177,272,277,36,63907,60541,2107,517,1160,51,573,63907,2223,360,1284,12,567,61684,58112,1696,115,833,22,68,838,22,816,27455,51254,25610,25644,63907,32050,31857,100.6,2804,3028,3500,5379,6509,7028,6593,8973,4736,4644,6182,3172,1359,40.8,11596,53897,52311,47378,13345,10713,52311,26109,26202,99.6,10713,4901,5812
Madison County,New York,36053,5766,16868,12148,84.8,71359,70276,1083,70276,67574,1251,464,0,0,9,43,630,81,238,59,8,80,40,124,73,0,0,73,0,284,1083,441,173,239,0,71359,68619,1786,667,885,113,435,71359,1547,387,453,51,656,69812,66547,1158,459,630,73,60,885,36,849,32209,56681,27773,28908,71359,35252,36107,97.6,3319,4183,3640,6378,5933,7298,7444,10199,5596,5227,7057,3454,1631,41.7,13922,59311,57437,52037,15191,12142,57437,28199,29238,96.4,12142,5573,6569
Monroe County,New York,36055,51536,174079,116742,75.6,744248,722194,22054,722194,566271,113538,3378,61,10,0,15,26661,6519,6507,1678,464,1870,2594,7029,120,25,0,17,78,12226,22054,8987,1920,4138,1118,744248,584993,126809,8027,32550,713,15471,744248,63631,4166,43111,3965,12389,680617,527127,107709,1246,26259,113,1272,16891,768,16123,326920,562000,266171,295829,744248,359374,384874,93.4,41595,43403,44235,51252,53257,103968,83605,99986,52237,49079,68688,34806,18137,38.9,157373,605112,586875,552433,150330,121631,586875,279101,307774,90.7,121631,52371,69260
Montgomery County,New York,36057,4504,12992,10854,79.3,49426,47969,1457,47969,43412,1007,71,0,0,0,0,420,153,41,42,13,8,33,130,0,0,0,0,0,3059,1457,590,183,105,0,49426,44666,1852,304,652,25,3489,49426,6766,296,5255,88,1127,42660,40461,858,71,394,0,95,781,3,778,23493,37646,18217,19429,49426,24265,25161,96.4,3034,3238,3040,3000,2901,6248,5600,6382,3661,3357,4967,2579,1419,41.4,11285,39377,38141,36457,10983,8965,38141,18472,19669,93.9,8965,3964,5001
Nassau County,New York,36059,88169,249219,210569,75.7,1356564,1315436,41128,1315436,930446,158708,3583,133,0,10,23,125767,50056,34926,10661,1693,12236,1268,14927,351,57,54,48,192,96581,41128,8864,4328,7559,1041,1356564,962498,177950,13075,139373,1138,109538,1356564,225581,10445,35645,6634,172857,1130983,824425,151236,1543,125198,190,7143,21248,3871,17377,471835,960405,457193,503212,1356564,659405,697159,94.6,74241,81701,84014,89088,86910,155654,162600,198721,101140,90331,125844,66469,39851,41.6,295105,1098579,1061459,1010468,281846,232164,1061459,508173,553286,91.8,232164,100033,132131
New York County,New York,36061,91896,212251,229207,68.7,1632480,1557030,75450,1557030,917402,241850,6995,384,11,30,31,196347,30699,107773,9790,12145,19446,2226,14268,867,285,113,52,417,193569,75450,23141,3773,17298,2781,1632480,973217,278902,25878,220205,2981,213826,1632480,423683,46390,104812,11219,261262,1208797,765564,203849,1891,194346,524,5961,36662,2536,34126,874237,1169957,539885,630072,1632480,772144,860336,89.7,79897,62983,59051,68706,114772,366556,234534,203826,94082,90711,141583,76731,39048,37.3,235771,1419185,1396709,1343940,307760,257362,1396709,653317,743392,87.9,257362,104819,152543
Niagara County,New York,36063,22985,52487,45404,77.5,211704,206482,5222,206482,185192,15145,2203,23,57,11,0,2277,826,574,222,90,181,110,274,75,53,0,0,22,1590,5222,2298,910,555,80,211704,189783,18542,3906,3117,297,2042,211704,6054,1131,3182,105,1636,205650,181515,14890,2184,2263,75,368,4355,61,4294,100301,166088,80011,86077,211704,103127,108577,95,11078,10904,12945,13069,13101,25881,23528,29830,16305,16663,21648,11123,5629,43.2,42846,174356,168858,160796,47324,38400,168858,81280,87578,92.8,38400,16767,21633
Oneida County,New York,36065,24769,58370,43348,77.5,230782,225318,5464,225318,197739,14398,491,38,9,0,0,9184,612,746,391,67,302,1383,5683,63,45,0,0,18,3443,5464,2756,675,680,70,230782,202524,17819,1610,10229,257,4230,230782,12892,1141,7327,246,4178,217890,190102,13748,430,9134,63,163,4250,139,4111,105102,175570,86830,88740,230782,115089,115693,99.5,13161,13707,13704,15093,15838,28516,25448,31594,16735,15336,22639,12246,6765,41.2,49082,187123,181700,171557,50377,41650,181700,89972,91728,98.1,41650,18190,23460
Onondaga County,New York,36067,39805,109564,74203,75.6,464242,448264,15978,448264,370976,52888,2389,93,18,8,20,17130,3203,5011,741,193,1178,2406,4398,116,48,29,27,12,4765,15978,6338,3086,2608,635,464242,384983,61754,7235,20744,673,6367,464242,22258,2218,11263,2483,6294,441984,357879,50528,2274,17080,105,810,13308,347,12961,207567,350441,165800,184641,464242,223995,240247,93.2,26583,27226,28145,34190,32440,61565,51694,63081,33947,30336,41656,21386,11993,39,100050,376244,364192,340690,92519,75035,364192,172844,191348,90.3,75035,32313,42722
Ontario County,New York,36069,8954,26646,18013,80.8,109472,107696,1776,107696,101467,2770,487,10,0,54,0,1455,385,526,191,38,167,76,72,37,0,13,24,0,1480,1776,668,306,216,13,109472,103041,3656,871,1819,162,1835,109472,5058,770,2929,106,1253,104414,98548,2503,224,1455,37,219,1428,129,1299,50412,85095,41160,43935,109472,53704,55768,96.3,5507,5890,6898,7426,7017,11845,11886,15906,8413,8114,12102,5708,2760,43.5,22565,89648,86907,82344,25127,20570,86907,42117,44790,94,20570,9195,11375
Orange County,New York,36071,25574,77972,71700,78.6,378227,364885,13342,364885,279802,40849,1308,0,30,55,0,10034,2812,2413,1529,282,736,633,1629,229,64,13,79,73,32663,13342,4560,1082,1722,391,378227,290663,47537,3637,12873,1038,36876,378227,75705,16258,30112,1001,28334,302522,245605,37246,815,9913,120,1546,7277,454,6823,142360,266215,132025,134190,378227,189484,188743,100.4,24852,26573,28230,28880,28774,43203,45245,54577,25389,22052,29805,14068,6579,36.9,97099,292565,281128,263709,63326,50452,281128,139562,141566,98.6,50452,22201,28251
Orleans County,New York,36073,4995,11750,10275,82.1,41175,40424,751,40424,36583,2541,151,4,0,0,0,326,25,129,72,22,45,4,29,21,0,0,0,21,802,751,378,226,13,16,41175,37299,2979,436,365,28,860,41175,1961,773,857,52,279,39214,35622,2457,151,296,21,9,658,5,653,18570,32355,15996,16359,41175,20539,20636,99.5,2113,2323,2136,2523,2448,5491,4607,6296,3417,2877,4047,2118,779,43.2,8165,34052,33010,31653,8406,6944,33010,16394,16616,98.7,6944,3130,3814
Oswego County,New York,36075,9581,32594,22776,85.8,119104,116902,2202,116902,113885,1325,190,20,0,0,0,882,128,216,196,64,139,12,127,16,9,0,0,7,604,2202,540,821,403,78,119104,115907,2068,1223,1346,118,798,119104,2995,475,1465,50,1005,116109,112214,1106,166,767,7,47,1802,24,1778,54409,92847,46131,46716,119104,59648,59456,100.3,6521,7073,7165,9240,8956,14223,13043,17428,9240,7977,11018,5079,2141,40,25429,96871,93675,86687,22692,18238,93675,46482,47193,98.5,18238,8422,9816
Otsego County,New York,36077,4364,13455,10605,85.6,60244,59049,1195,59049,56254,1245,92,6,0,0,0,829,138,250,70,14,134,30,193,5,0,0,0,5,624,1195,329,285,218,10,60244,57353,1727,459,1134,16,876,60244,2175,363,1031,21,760,58069,54982,1071,49,816,5,121,1025,116,909,31224,49596,23765,25831,60244,29127,31117,93.6,2552,2675,2771,5692,6647,5817,5600,7530,4505,4434,6842,3686,1493,42,9878,51668,50366,44439,14641,12021,50366,24068,26298,91.5,12021,5543,6478
Putnam County,New York,36079,5361,17986,14873,84.4,99070,96867,2203,96867,86904,2881,205,23,0,0,0,2019,477,852,300,34,137,0,219,24,24,0,0,0,4834,2203,484,347,572,31,99070,88780,3795,707,2911,60,5283,99070,14195,1222,4518,537,7918,84875,78745,2548,66,1995,24,241,1256,50,1206,38605,73858,36529,37329,99070,49296,49774,99,4418,5263,6389,6529,6173,10422,11647,16845,7845,7486,9844,4502,1707,44.1,20311,81721,78759,75515,20453,16053,78759,39076,39683,98.5,16053,7346,8707
Queens County,New York,36081,200764,437147,499192,71.9,2298513,2218782,79731,2218782,896722,421038,9977,515,29,60,0,580709,141149,239649,42238,7175,51261,4258,94979,1100,194,220,152,534,309236,79731,12201,4349,16105,2220,2298513,947402,451926,22354,614581,6266,341823,2298513,643563,91474,112777,10254,429058,1654950,581373,396320,5388,576353,799,44832,49885,12186,37699,855716,1399274,661515,737759,2298513,1114654,1183859,94.2,144790,123406,124069,118190,141802,372909,320326,318272,156633,137460,189763,103751,47142,38.7,465458,1881732,1833055,1759534,416936,340656,1833055,876066,956989,91.5,340656,142502,198154
Rensselaer County,New York,36083,12419,36763,26127,78.8,159431,153759,5672,153759,137648,10239,212,0,0,0,0,4134,1103,1518,344,104,218,43,804,9,0,0,9,0,1517,5672,3013,681,742,86,159431,142914,14261,1578,5160,91,1833,159431,7650,1365,3666,357,2262,151781,133232,9399,81,4113,0,281,4675,67,4608,72852,124245,60511,63734,159431,78611,80820,97.3,8479,8731,8858,11152,11129,21941,18554,22129,11599,11320,15092,6997,3450,39.9,31723,131319,127708,119831,32339,25539,127708,62441,65267,95.7,25539,11259,14280
Richmond County,New York,36085,40376,105165,92031,74.8,474101,462311,11790,462311,352259,48591,1080,75,0,0,0,41427,8605,17085,5002,108,3203,461,6963,197,14,0,36,147,18757,11790,4172,778,2495,285,474101,361544,54907,2971,45647,529,21484,474101,86976,17662,41044,1469,26801,387125,292360,43906,595,40946,132,1026,8160,778,7382,179871,335439,158668,176771,474101,229424,244677,93.8,27356,28745,29866,29314,30067,63250,60147,67646,33117,31268,43118,21406,8801,40,104503,382147,369598,353274,92049,73325,369598,175847,193751,90.8,73325,31369,41956
Rockland County,New York,36087,19488,52098,54230,74.8,323686,314714,8972,314714,228967,39715,544,47,26,0,0,19216,7855,3205,4473,199,1620,314,1550,33,20,0,0,13,26239,8972,2213,391,1899,517,323686,235742,44011,2039,22285,270,29069,323686,56383,4252,13754,1690,36687,267303,204842,36781,382,19077,20,1215,4986,394,4592,105911,207923,99637,108286,323686,158667,165019,96.2,25068,25410,24524,23601,21574,37212,35804,41687,21411,17750,27200,15112,7333,36.1,90065,243191,233621,220630,60156,49645,233621,112749,120872,93.3,49645,21249,28396
Saratoga County,New York,36091,16032,48808,32166,82.2,227377,223428,3949,223428,211245,3960,472,0,118,0,0,6478,1964,1985,235,189,819,398,888,37,21,16,0,0,1236,3949,1492,574,1067,86,227377,214649,5861,1211,7897,234,1589,227377,7059,1562,2961,239,2297,220318,206104,3489,423,6453,21,313,3515,150,3365,104895,175638,86010,89628,227377,112468,114909,97.9,11778,13349,12969,14488,13300,26831,28533,35002,17270,15120,23450,10870,4417,42.6,46969,186630,180408,172387,47190,38737,180408,88472,91936,96.2,38737,17471,21266
Schenectady County,New York,36093,13491,36838,25207,73.4,154883,148413,6470,148413,119664,15965,351,0,0,0,5,7187,3683,1543,552,18,180,143,1068,66,0,0,57,9,5180,6470,2574,673,915,241,154883,124363,19766,1514,8800,600,6627,154883,10707,1060,5869,280,3498,144176,113649,14824,319,6967,66,3064,5287,887,4400,69302,116329,55678,60651,154883,75453,79430,95,9017,8893,9757,9883,10373,19968,18915,21250,11243,10069,13688,7303,4524,39.9,33475,125412,121408,115059,31657,25515,121408,58205,63203,92.1,25515,10799,14716
Schoharie County,New York,36095,2980,8731,6237,93.7,31364,31018,346,31018,30007,541,49,0,0,0,0,280,41,104,22,29,47,7,30,13,0,0,13,0,128,346,50,135,35,0,31364,30342,668,248,347,26,177,31364,972,145,364,140,323,30392,29308,472,49,271,0,1,291,5,286,17506,25436,12652,12784,31364,15620,15744,99.2,1350,1610,1609,2504,2081,3247,3238,4401,2636,2329,3770,1862,727,45.1,5655,26508,25709,23708,7773,6359,25709,12763,12946,98.6,6359,3076,3283
Schuyler County,New York,36097,1715,4522,3724,88.1,17992,17747,245,17747,17353,224,31,0,0,0,0,107,3,71,21,0,0,0,12,0,0,0,0,0,32,245,91,83,35,6,17992,17592,334,120,155,0,49,17992,313,22,224,0,67,17679,17133,162,31,107,0,10,236,8,228,9736,14391,7122,7269,17992,8979,9013,99.6,915,922,978,1042,935,2043,1909,2694,1554,1396,2131,1103,370,46.2,3515,14948,14477,13928,4364,3604,14477,7151,7326,97.6,3604,1688,1916
Seneca County,New York,36099,3433,10257,7993,84.7,34612,33987,625,33987,31669,1707,135,19,0,0,0,242,78,71,28,0,29,3,33,0,0,0,0,0,234,625,317,138,89,7,34612,32263,2079,298,347,19,262,34612,1158,157,699,31,271,33454,30873,1617,135,242,0,8,579,4,575,16336,27400,14414,12986,34612,18096,16516,109.6,1897,1651,2095,1919,2247,4669,3865,4784,2896,2267,3673,1890,759,42.2,6915,28558,27697,26779,7597,6322,27697,14563,13134,110.9,6322,2900,3422
St. Lawrence County,New York,36089,9505,29095,23087,83.9,109558,107584,1974,107584,101766,2642,828,61,0,7,0,1153,301,375,85,94,95,100,103,68,3,0,13,52,1127,1974,505,677,365,31,109558,103599,3268,1575,1653,125,1393,109558,2532,408,1069,94,961,107026,100770,2429,828,1125,68,154,1652,40,1612,53102,84800,42934,41866,109558,55780,53778,103.7,5814,6218,6563,9808,9299,12857,11838,14315,7798,7164,10269,5197,2418,38.9,22418,89768,87140,78452,22041,17884,87140,44246,42894,103.2,17884,8157,9727
Steuben County,New York,36101,10023,25359,19104,84.3,96927,95545,1382,95545,92017,1553,102,22,0,4,0,1484,747,318,63,55,89,13,199,15,6,7,2,0,374,1382,591,511,152,7,96927,93367,2181,642,1666,21,469,96927,1571,415,590,3,563,95356,90861,1472,102,1484,12,117,1308,43,1265,49462,74472,36733,37739,96927,48397,48530,99.7,5413,6000,5906,6073,5466,11105,11141,13399,7743,6792,10163,5510,2216,42.6,21208,78331,75719,72325,21811,17889,75719,37415,38304,97.7,17889,8180,9709
Suffolk County,New York,36103,103272,294174,244921,77.1,1487901,1453021,34880,1453021,1200553,116880,3967,205,0,0,34,57527,17766,14716,5966,1068,5654,1627,10730,451,207,61,5,178,73643,34880,8191,5281,6167,1734,1487901,1228921,131974,14844,67638,1452,82510,1487901,281315,16151,69651,6187,189326,1206586,1013391,108250,2145,56714,305,6011,19770,2299,17471,575162,1068939,517261,551678,1487901,732269,755632,96.9,80227,85048,95973,99916,97917,172284,179030,231671,110693,96003,135037,71937,32165,41.3,322908,1206115,1164993,1107384,292743,239139,1164993,567348,597645,94.9,239139,104085,135054
Sullivan County,New York,36105,6812,20535,16842,93.2,75211,72150,3061,72150,60702,6297,191,28,6,0,0,1198,584,204,212,26,138,0,34,0,0,0,0,0,3762,3061,1612,353,194,422,75211,63213,8625,1122,1520,36,4011,75211,11836,1255,5388,334,4859,63375,54110,5706,133,1176,0,323,1927,13,1914,50457,55830,28485,27345,75211,38595,36616,105.4,4229,4274,4657,4698,4252,8917,8416,11044,6047,5125,8372,4029,1151,42.9,16032,61202,59179,56364,16570,13552,59179,30349,28830,105.3,13552,6539,7013
Tioga County,New York,36107,4481,11996,9322,84.3,49045,48251,794,48251,47371,322,91,11,0,0,0,346,14,111,10,28,36,42,105,18,6,12,0,0,103,794,293,179,152,11,49045,48146,745,374,530,18,151,49045,927,235,443,60,189,48118,46642,292,82,346,0,28,728,22,706,22486,38226,18802,19424,49045,24264,24781,97.9,2582,2792,3142,2968,2822,5168,5517,6911,4464,3244,5290,2928,1217,44,10495,39894,38550,36887,11089,9435,38550,18899,19651,96.2,9435,4317,5118
Tompkins County,New York,36109,5087,18098,11496,82.6,102962,99137,3825,99137,82924,4272,224,0,0,5,0,10386,1744,5714,204,286,1160,136,1142,31,0,0,31,0,1300,3825,1056,585,1338,145,102962,86409,5726,1114,12087,259,1563,102962,5156,885,1372,224,2675,97806,79657,3808,150,10332,31,365,3463,140,3323,43048,79633,38385,41248,102962,50823,52139,97.5,4254,4152,4219,12860,17695,13114,10452,10747,5836,6072,8205,3344,2012,30.9,15362,89418,87600,71887,17052,13561,87600,42735,44865,95.3,13561,6134,7427
Ulster County,New York,36111,13559,41579,28875,81.4,179303,171824,7479,171824,152289,10615,368,40,0,0,0,3452,531,1232,253,151,261,89,935,131,119,5,0,7,4969,7479,2508,1212,1000,466,179303,158933,14496,2794,4739,201,6405,179303,17976,3223,7135,583,7035,161327,142515,9614,130,3389,131,490,5058,56,5002,84874,141324,69710,71614,179303,88774,90529,98.1,7950,8819,9595,11075,11932,21959,20768,26409,14550,12911,19683,9557,4095,43.7,32420,150935,146883,139044,40391,33335,146883,72537,74346,97.6,33335,14957,18378
